year,site,tsq,chs_max_ln,chs_mean_ln,chs_sd_ln,chs_cv_ln,chs_gini_ln,openness_ln,enl0_ln,enl1_ln,enl2_ln,boxdim_ln,slope,aspect,chs_max_tsq,chs_mean_tsq,chs_sd_tsq,chs_cv_tsq,chs_gini_tsq,openness_tsq,enl0_tsq,enl1_tsq,enl2_tsq,boxdim_tsq
2023,A,D33_0703,13.3,10.1,1.3,0.1,0.1,0,13,10.717,9.959,1.9574,31.2,NA,12.7,10.9,1.3,0.1,0.1,0,13,10.248,8.892,1.6511
2023,A,G31_1908,17,13.6,1.6,0.1,0.1,0,17,12.256,10.224,1.7875,19.5,NA,17,14,1.8,0.1,0.1,0,17,11.808,9.188,1.643
2023,A,H30_0709,12.2,9.8,0.9,0.1,0,0,12,9.431,8.012,2.0326,29.8,NA,12.1,9.8,0.6,0.1,0,0,12,7.379,5.732,1.6813
2023,A,H30_0315,13.3,9.8,1.8,0.2,0.1,0,13,9.296,7.765,1.8824,18.6,NA,11.9,9.2,2.4,0.3,0.1,0,11,6.406,4.849,1.7276
2023,A,I29_0504,11.2,9.2,1,0.1,0.1,0,11,8.975,7.68,1.9811,24,NA,10.9,9.2,0.7,0.1,0,0,11,7.905,6.68,1.7042
2023,A,I29_1303,12.3,9.9,1.3,0.1,0.1,0,12,9.892,8.771,2.0115,25.2,NA,12.2,10.9,0.8,0.1,0,0,12,8.44,7,1.7235
2023,A,I29_0610,12.5,10.5,0.8,0.1,0,0,13,8.902,7.109,2.0741,18.9,NA,12.5,10.9,0.7,0.1,0,0,13,8.765,7.184,1.7648
2023,A,H27_0318,9.7,8.1,0.9,0.1,0.1,0,10,7.666,6.68,1.9846,23.2,NA,9.2,8.4,0.4,0.1,0,0,9,6.77,5.644,1.7111
2023,A,G26_0512,13.2,6.6,2,0.3,0.2,0,13,6.633,6.028,2.1596,42.9,NA,13.2,7.1,2,0.3,0.1,0,13,6.218,5.767,1.8128
2023,A,G26_0214,14.8,11.6,2.6,0.2,0.1,0,15,10.503,7.816,1.9423,43.7,NA,14.1,11.7,2,0.2,0.1,0,14,9.081,6.718,1.6706
2023,A,G26_0116,15.8,13.7,2.1,0.1,0.1,0,16,10.882,8.398,1.9039,43.4,NA,15.2,14.1,0.8,0.1,0,0,15,9.296,7.081,1.6483
2023,A,G21_1809,6.9,4.7,0.9,0.2,0.1,0,7,4.931,4.578,2.197,34.8,NA,6.9,5,0.8,0.2,0.1,0,7,4.826,4.425,2.1228
2023,A,G21_1008,7.7,6.5,0.7,0.1,0.1,0,8,6.539,6.102,2.0767,33.6,NA,7.5,6.8,0.4,0.1,0,0,7,5.715,5.022,1.9024
2023,A,G21_0406,7,5.7,0.5,0.1,0.1,0,7,5.818,5.576,2.0892,33,NA,7,5.8,0.4,0.1,0,0,7,5.726,5.418,1.8485
2023,A,N14_0415,5.9,4.2,1.2,0.3,0.2,0,6,4.932,4.719,1.9864,28.7,NA,5.2,3.3,1.1,0.3,0.2,0,5,3.57,3.041,1.7423
2023,A,N14_1311,11.8,10.3,1.6,0.2,0.1,0,12,9.927,8.737,2.0613,38.5,NA,11.7,10.3,0.9,0.1,0,0,12,8.648,7.127,1.8341
2023,A,N14_1019,9.3,8.3,0.6,0.1,0,0,9,7.125,6.168,1.9379,34.6,NA,9.3,8.9,0.3,0,0,0,9,6.515,5.526,1.7563
2023,A,M11_0514,4.6,3.7,0.3,0.1,0,0,5,3.643,3.425,2.1485,34.4,NA,4.6,3.6,0.3,0.1,0,0,5,3.503,3.269,1.8335
2023,A,M11_0218,5.7,3.9,0.9,0.2,0.1,0,6,4.368,4.095,2.1871,41.3,NA,5.1,3.8,0.5,0.1,0.1,0,5,3.869,3.66,2.0414
2023,A,M11_1802,5,3.4,0.5,0.1,0.1,0,5,3.338,3.119,2.1858,24.9,NA,4.3,3.2,0.3,0.1,0,0,4,3.077,2.965,1.968
2023,A,O12_0817,10.8,9.4,0.7,0.1,0,0,11,7.563,6.16,2.0365,41.2,NA,10.3,9,0.6,0.1,0,0,10,5.57,4.404,1.7586
2023,A,O12_1012,11,9.7,0.7,0.1,0,0,11,7.585,6.381,2.0362,37.7,NA,10.5,9.7,0.4,0,0,0,10,7.1,6.098,1.7548
2023,A,O12_1205,10.6,9.3,1.3,0.1,0.1,0,11,8.267,7.17,2.0357,41.1,NA,10.1,9,0.7,0.1,0,0,10,7.786,6.591,1.7706
2023,A,O26_1203,11.6,7.7,1.5,0.2,0.1,0,12,7.281,6.563,2.1023,28.9,NA,10.6,7.8,1.6,0.2,0.1,0,11,6.76,5.97,1.8083
2023,A,O26_1301,12,7.6,2.1,0.3,0.2,0,12,7.317,6.156,1.847,31.6,NA,11,7.1,1.6,0.2,0.1,0,11,6.652,5.638,1.7434
2023,A,O26_1706,6.9,4.7,1.1,0.2,0.1,0,7,5.275,4.86,1.9493,33.2,NA,6.6,4.4,0.8,0.2,0.1,0,7,4.331,3.987,1.9561
2023,A,Q20_0705,13.2,10.4,1.1,0.1,0.1,0,13,10.091,8.599,1.999,22,NA,12,10.3,0.9,0.1,0.1,0,12,9.078,7.478,1.6214
2023,A,Q20_0403,12.6,10.6,0.8,0.1,0,0,13,10.812,10.229,2.0896,27.5,NA,11.7,10.5,0.5,0,0,0,12,10.258,9.631,1.7596
2023,A,I26_1711,15.6,13.1,0.9,0.1,0,0,16,9.5,6.858,1.8186,31.1,NA,15.6,13.4,0.8,0.1,0,0,16,6.869,4.958,1.5384
2023,A,I26_0010,17.5,14.8,2.6,0.2,0.1,0,17,10.19,6.344,1.8578,41.7,NA,17.4,15.4,1.4,0.1,0,0,16,7.073,4.695,1.5245
2023,A,N27_1512,15.6,13.8,1.1,0.1,0,0,16,10.656,8.178,1.7033,16.7,NA,15.6,14.1,0.6,0,0,0,14,7.92,6.108,1.4377
2023,A,N27_1107,13.2,11.7,0.6,0.1,0,0,13,9.321,7.534,1.9748000000000001,13.8,NA,12.4,11.6,0.3,0,0,0,12,7.955,6.293,1.6318
2023,A,N27_0306,14.2,12.3,0.6,0.1,0,0,14,8.616,6.222,1.7504,14.4,NA,13.8,12.4,0.5,0,0,0,12,6.07,4.286,1.4913
